# golden_high_alert_pos_trace - per-frame reference output for Stage 1a
# HIGH_ALERT POSITIVE (deployment default): p7_static seed=1121025720 snr=+12dB bed=wind f0=430.0Hz; flips at 1.700 - FIRES at 1.7000, does NOT fire at 2.1400
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "hold_mode": "off", "hold_chain_min": 2, "hold_frac": 0.6, "hold_persist": 3, "hold_release_s": 0.5, "hold_w_bins": 1, "hold_max_bins": 64, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 1.700000   events: 1   VERDICT: FIRES
# peak score 2.192558   longest chain 7/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
0,0.128000,0.000000,1534,1604.0,1604.0,4,0,0,0,0,0,0,0
1,0.160000,1.007254,1654,1724.0,1724.0,4,0,0,0,0,0,0,0
2,0.192000,1.316778,1781,1851.0,1851.0,4,0,0,0,0,0,0,0
3,0.224000,1.210034,94,164.0,164.0,12,0,0,0,0,0,0,0
4,0.256000,1.442866,89,159.0,159.0,11,0,0,0,0,0,0,0
5,0.288000,1.147410,91,161.0,161.0,10,0,0,0,0,0,0,0
6,0.320000,1.254580,136,206.0,206.0,11,0,0,0,0,0,0,0
7,0.352000,1.191533,90,160.0,160.0,10,0,0,0,0,0,0,0
8,0.384000,1.276718,346,416.0,416.0,12,0,0,0,0,0,0,0
9,0.416000,1.011119,5,75.0,75.0,11,0,0,0,0,0,0,0
10,0.448000,1.348416,89,159.0,159.0,11,0,0,0,0,0,0,0
11,0.480000,1.218277,89,159.0,159.0,12,0,0,0,0,0,0,0
12,0.512000,1.043371,1608,1678.0,1678.0,4,0,0,0,0,0,0,0
13,0.544000,1.108843,1032,1102.0,1102.0,6,0,0,0,0,0,0,0
14,0.576000,1.202458,961,1031.0,1031.0,7,0,0,0,0,0,0,0
15,0.608000,1.412705,961,1031.0,1031.0,6,0,0,0,0,0,0,0
16,0.640000,1.393162,94,164.0,164.0,12,0,0,0,0,0,0,0
17,0.672000,0.888750,676,746.0,746.0,9,0,0,0,0,0,0,0
18,0.704000,1.073768,251,321.0,321.0,10,0,0,0,0,0,0,0
19,0.736000,1.339706,1782,1852.0,1852.0,4,0,0,0,0,0,0,0
20,0.768000,1.397547,1608,1678.0,1678.0,4,0,0,0,0,0,0,0
21,0.800000,1.166830,258,328.0,328.0,11,0,0,0,0,0,0,0
