# golden_marginal_neg_trace - per-frame reference output for Stage 1a
# MARGINAL NEGATIVE: livestock seed=1763911438 level=+12dB bed=pink; flips at 2.135 vs operating 2.1400
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 0   VERDICT: NO FIRE
# peak score 2.691269   longest chain 4/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
0,0.128000,0.000000,2,72.0,72.0,12,0,0,0,0,0,0,0
1,0.160000,1.089485,996,1066.0,1066.0,5,0,0,0,0,0,0,0
2,0.192000,1.339225,473,543.0,543.0,8,0,0,0,0,0,0,0
3,0.224000,1.205228,668,738.0,738.0,9,0,0,0,0,0,0,0
4,0.256000,1.218216,996,1066.0,1066.0,7,0,0,0,0,0,0,0
5,0.288000,1.127127,370,440.0,440.0,8,0,0,0,0,0,0,0
6,0.320000,1.126844,995,1065.0,1065.0,6,0,0,0,0,0,0,0
7,0.352000,1.341393,1170,1240.0,1240.0,6,0,0,0,0,0,0,0
8,0.384000,1.046541,473,543.0,543.0,7,0,0,0,0,0,0,0
9,0.416000,1.103932,996,1066.0,1066.0,7,0,0,0,0,0,0,0
10,0.448000,1.530239,997,1067.0,1067.0,6,0,0,0,0,0,0,0
11,0.480000,1.107244,1251,1321.0,1321.0,4,0,0,0,0,0,0,0
12,0.512000,1.139746,1250,1320.0,1320.0,5,0,0,0,0,0,0,0
13,0.544000,0.978188,180,250.0,250.0,12,0,0,0,0,0,0,0
14,0.576000,1.077053,361,431.0,431.0,10,0,0,0,0,0,0,0
15,0.608000,1.312601,995,1065.0,1065.0,7,0,0,0,0,0,0,0
16,0.640000,1.081194,997,1067.0,1067.0,6,0,0,0,0,0,0,0
17,0.672000,1.050618,1170,1240.0,1240.0,5,0,0,0,0,0,0,0
18,0.704000,1.095396,1766,1836.0,1836.0,4,0,0,0,0,0,0,0
19,0.736000,1.088238,1610,1680.0,1680.0,4,0,0,0,0,0,0,0
20,0.768000,1.064293,1610,1680.0,1680.0,3,0,0,0,0,0,0,0
21,0.800000,1.064893,1024,1094.0,1094.0,6,0,0,0,0,0,0,0
22,0.832000,0.862026,934,1004.0,1004.0,7,0,0,0,0,0,0,0
23,0.864000,1.010480,611,681.0,681.0,10,0,0,0,0,0,0,0
24,0.896000,1.035445,713,783.0,783.0,9,0,0,0,0,0,0,0
25,0.928000,1.014144,995,1065.0,1065.0,7,0,0,0,0,0,0,0
26,0.960000,1.191289,473,543.0,543.0,11,0,0,0,0,0,0,0
27,0.992000,0.939090,770,840.0,840.0,9,0,0,0,0,0,0,0
28,1.024000,0.981404,1170,1240.0,1240.0,6,0,0,0,0,0,0,0
29,1.056000,1.074592,473,543.0,543.0,12,0,0,0,0,0,0,0
30,1.088000,1.067153,473,543.0,543.0,11,0,0,0,0,0,0,0
31,1.120000,1.210114,667,737.0,737.0,10,0,0,0,0,0,0,0
32,1.152000,0.958490,550,620.0,620.0,12,0,0,0,0,0,0,0
33,1.184000,0.975809,1251,1321.0,1321.0,5,0,0,0,0,0,0,0
34,1.216000,1.658303,371,441.0,441.0,12,0,0,0,0,0,0,0
35,1.248000,1.272073,664,734.0,734.0,10,0,0,0,0,0,0,0
36,1.280000,1.291403,1000,1070.0,1070.0,7,0,0,0,0,0,0,0
37,1.312000,1.445598,1247,1317.0,1317.0,5,0,0,0,0,0,0,0
