# golden_marginal_pos_trace - per-frame reference output for Stage 1a
# MARGINAL POSITIVE: five_inch seed=594317972 snr=+9dB bed=pink f0=479.1Hz; flips at 2.140 vs operating 2.1400
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 1   VERDICT: FIRES
# peak score 2.508991   longest chain 6/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
0,0.128000,0.000000,2,72.0,72.0,12,0,0,0,0,0,0,0
1,0.160000,1.154779,825,895.0,895.0,7,0,0,0,0,0,0,0
2,0.192000,1.232239,1498,1568.0,1568.0,4,0,0,0,0,0,0,0
3,0.224000,1.313809,1282,1352.0,1352.0,5,0,0,0,0,0,0,0
4,0.256000,1.329532,55,125.0,125.0,9,0,0,0,0,0,0,0
5,0.288000,1.200888,55,125.0,125.0,9,0,0,0,0,0,0,0
6,0.320000,1.441150,1284,1354.0,1354.0,5,0,0,0,0,0,0,0
7,0.352000,1.553773,1284,1354.0,1354.0,5,0,0,0,0,0,0,0
8,0.384000,1.552863,1284,1354.0,1354.0,5,0,0,0,0,0,0,0
9,0.416000,1.329220,615,685.0,685.0,10,0,0,0,0,0,0,0
10,0.448000,1.145569,615,685.0,685.0,10,0,0,0,0,0,0,0
11,0.480000,1.198332,1284,1354.0,1354.0,4,0,0,0,0,0,0,0
12,0.512000,1.150469,1793,1863.0,1863.0,4,0,0,0,0,0,0,0
13,0.544000,1.239383,1721,1791.0,1791.0,4,0,0,0,0,0,0,0
14,0.576000,1.437124,615,685.0,685.0,9,0,0,0,0,0,0,0
15,0.608000,1.337989,55,125.0,125.0,12,0,0,0,0,0,0,0
16,0.640000,1.101374,55,125.0,125.0,12,0,0,0,0,0,0,0
17,0.672000,1.205793,1041,1111.0,1111.0,7,0,0,0,0,0,0,0
18,0.704000,1.165291,616,686.0,686.0,11,0,0,0,0,0,0,0
19,0.736000,1.325307,1633,1703.0,1703.0,4,0,0,0,0,0,0,0
