# golden_strong_pos_trace - per-frame reference output for Stage 1a
# STRONG POSITIVE (exact platform): p7_flyby seed=1150916893 snr=+6dB bed=wind_gusty f0=463.0Hz; flips at 2.650
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 1   VERDICT: FIRES
# peak score 2.988102   longest chain 67/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
0,0.128000,0.000000,798,868.0,868.0,8,0,0,0,0,0,0,0
1,0.160000,1.305157,633,703.0,703.0,9,0,0,0,0,0,0,0
2,0.192000,1.334379,633,703.0,703.0,9,0,0,0,0,0,0,0
3,0.224000,1.229772,463,533.0,533.0,10,0,0,0,0,0,0,0
4,0.256000,1.209509,1509,1579.0,1579.0,4,0,0,0,0,0,0,0
5,0.288000,1.167810,361,431.0,431.0,11,0,0,0,0,0,0,0
6,0.320000,1.327442,1508,1578.0,1578.0,4,0,0,0,0,0,0,0
7,0.352000,1.245623,443,513.0,513.0,10,0,0,0,0,0,0,0
8,0.384000,1.325435,18,88.0,88.0,11,0,0,0,0,0,0,0
9,0.416000,1.048861,447,517.0,517.0,12,0,0,0,0,0,0,0
10,0.448000,1.065243,191,261.0,261.0,10,0,0,0,0,0,0,0
11,0.480000,1.061364,189,259.0,259.0,11,0,0,0,0,0,0,0
12,0.512000,1.018030,188,258.0,258.0,12,0,0,0,0,0,0,0
13,0.544000,0.930527,1156,1226.0,1226.0,6,0,0,0,0,0,0,0
14,0.576000,0.984234,145,215.0,215.0,10,0,0,0,0,0,0,0
15,0.608000,1.116300,237,307.0,307.0,12,0,0,0,0,0,0,0
16,0.640000,1.175251,127,197.0,197.0,11,0,0,0,0,0,0,0
17,0.672000,0.989778,1409,1479.0,1479.0,5,0,0,0,0,0,0,0
18,0.704000,1.120217,805,875.0,875.0,8,0,0,0,0,0,0,0
19,0.736000,1.227273,29,99.0,99.0,9,0,0,0,0,0,0,0
20,0.768000,0.960837,1420,1490.0,1490.0,4,0,0,0,0,0,0,0
21,0.800000,0.927416,172,242.0,242.0,12,0,0,0,0,0,0,0
22,0.832000,0.906066,1521,1591.0,1591.0,4,0,0,0,0,0,0,0
23,0.864000,1.543394,633,703.0,703.0,11,0,0,0,0,0,0,0
24,0.896000,0.878721,1416,1486.0,1486.0,4,0,0,0,0,0,0,0
25,0.928000,0.980879,937,1007.0,1007.0,7,0,0,0,0,0,0,0
26,0.960000,1.077239,1868,1938.0,1938.0,4,0,0,0,0,0,0,0
27,0.992000,1.093959,193,263.0,263.0,12,0,0,0,0,0,0,0
28,1.024000,1.114692,189,259.0,259.0,10,0,0,0,0,0,0,0
29,1.056000,1.016552,193,263.0,263.0,12,0,0,0,0,0,0,0
30,1.088000,1.054715,452,522.0,522.0,12,0,0,0,0,0,0,0
31,1.120000,0.974455,548,618.0,618.0,11,0,0,0,0,0,0,0
32,1.152000,1.191959,1774,1844.0,1844.0,4,0,0,0,0,0,0,0
33,1.184000,1.044304,1144,1214.0,1214.0,5,0,0,0,0,0,0,0
34,1.216000,0.993416,1262,1332.0,1332.0,5,0,0,0,0,0,0,0
35,1.248000,1.392579,913,983.0,983.0,7,0,0,0,0,0,0,0
36,1.280000,1.004756,307,377.0,377.0,12,0,0,0,0,0,0,0
37,1.312000,1.020226,586,656.0,656.0,11,0,0,0,0,0,0,0
38,1.344000,1.384197,168,238.0,238.0,12,0,0,0,0,0,0,0
39,1.376000,1.154507,1260,1330.0,1330.0,5,0,0,0,0,0,0,0
40,1.408000,1.284008,407,477.0,477.0,12,0,0,0,0,0,0,0
41,1.440000,1.192721,196,266.0,266.0,12,0,0,0,0,0,0,0
42,1.472000,1.331700,195,265.0,265.0,12,0,0,0,0,0,0,0
43,1.504000,0.981822,1145,1215.0,1215.0,6,1,0,0,0,0,0,0
44,1.536000,0.994974,111,181.0,181.0,12,1,0,0,0,0,0,0
45,1.568000,0.938328,536,606.0,606.0,12,1,0,0,0,0,0,0
46,1.600000,1.191845,30,100.0,100.0,12,1,0,0,0,0,0,0
47,1.632000,1.041339,1628,1698.0,1698.0,4,1,0,0,0,0,0,0
48,1.664000,1.032820,701,771.0,771.0,9,1,0,0,0,0,0,0
49,1.696000,1.015777,626,696.0,696.0,11,1,0,0,0,0,0,0
50,1.728000,0.895966,506,576.0,576.0,12,1,0,0,0,0,0,0
51,1.760000,1.132042,18,88.0,88.0,12,1,0,0,0,0,0,0
52,1.792000,1.127314,1107,1177.0,1177.0,6,1,0,0,0,0,0,0
53,1.824000,1.101854,1701,1771.0,1771.0,4,1,0,0,0,0,0,0
54,1.856000,1.136802,1780,1850.0,1850.0,4,1,0,0,0,0,0,0
55,1.888000,2.119209,451,521.0,521.0,12,0,0,0,0,0,0,0
56,1.920000,1.858051,441,511.0,511.0,12,0,0,0,0,0,0,0
57,1.952000,1.879715,433,503.0,503.0,12,0,0,0,0,0,0,0
58,1.984000,1.819996,433,503.0,503.0,12,0,0,0,0,0,0,0
59,2.016000,1.535343,181,251.0,251.0,12,0,0,0,0,0,0,0
60,2.048000,1.656661,430,500.0,500.0,12,0,0,0,0,0,0,0
61,2.080000,1.659445,429,499.0,499.0,12,0,0,0,0,0,0,0
62,2.112000,1.698822,428,498.0,498.0,12,0,0,0,0,0,0,0
63,2.144000,1.540053,182,252.0,252.0,12,0,0,0,0,0,0,0
64,2.176000,1.552518,433,503.0,503.0,12,0,0,0,0,0,0,0
65,2.208000,1.976295,432,502.0,502.0,12,0,0,0,0,0,0,0
66,2.240000,1.871094,432,502.0,502.0,12,0,0,0,0,0,0,0
67,2.272000,1.739577,434,504.0,504.0,12,0,0,0,0,0,0,0
68,2.304000,1.865957,429,499.0,499.0,12,0,0,0,0,0,0,0
69,2.336000,2.065454,432,502.0,502.0,12,0,0,0,0,0,0,0
70,2.368000,1.779558,432,502.0,502.0,12,0,0,0,0,0,0,0
71,2.400000,1.978859,431,501.0,501.0,12,0,0,0,0,0,0,0
72,2.432000,1.577745,429,499.0,499.0,12,0,0,0,0,0,0,0
73,2.464000,1.788011,428,498.0,498.0,12,0,0,0,0,0,0,0
74,2.496000,1.998176,430,500.0,500.0,12,0,0,0,0,0,0,0
75,2.528000,1.842808,430,500.0,500.0,12,0,0,0,0,0,0,0
76,2.560000,1.885306,180,250.0,250.0,12,0,0,0,0,0,0,0
77,2.592000,2.365639,430,500.0,500.0,12,0,0,0,1,1,1,0
78,2.624000,2.241184,431,501.0,501.0,12,0,0,0,1,1,2,0
79,2.656000,2.088511,429,499.0,499.0,12,0,0,0,0,0,0,0
80,2.688000,1.785702,180,250.0,250.0,12,0,0,0,0,0,0,0
