Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"TMB12A03","BZ1","Through Hole D12mm P7.6mm","","C96222"
"CL10A475KP8NNNC","C1, C2, C3","","","C1705"
"GRM188R61A226ME15L","C6, C7, C8","C0603","","C167429"
"CL10B104KB8NNNC","C10, C11, C15, C16, C18, C20, C22, C25","C_0603_1608Metric","","C1591"
"CL10A106KP8NNNC","C12, C4, C5, C9","","","C19702"
"CL10A105KB8NNNC","C13, C17, C19, C21, C23","C_0603_1608Metric","","C15849"
"MMASL168BB5106MTNA01","C14","C_0603_1608Metric","","C6594205"
"6SVPC330M","C24","CAP-SMD_BD6.3-L6.6-W6.6-FD","","C139569"
"OCV101M0JTR-0606","C26","CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD","","C134854"
"USBLC6-2SC6","D1","","","C7519"
"1N4148W-13-F","D2, D3","SOD-123_L2.7-W1.6-LS3.7-RD","","C112342"
"BLM18AG601SN1D","FB1","","","C19330"
"TYPE-C-31-M-12","J1","USB-C_SMD-TYPE-C-31-M-12","","C165948"
"B2B-PH-SM4-TB(LF)(SN)","J2","CONN-SMD_B2B-PH-SM4-TB-LF-SN","","C160352"
"XFL4020-152MEC","L1","","","C3033018"
"WS2812B-V6","LED1","SMD5050-4P","","C52917433"
"ICS-43434","M1, M2, M3, M4","LGA-6 3.5x2.65mm bottom-port","","C5656610"
"MMBT2222ALT1G","Q1, Q2","SOT-23","","C82460"
"0603WAF5101T5E","R1, R2","R_0603_1608Metric","","C23186"
"ERJ3EKF1781V","R3","R_0603_1608Metric","","C403029"
"RC0603FR-073K01L","R4","R_0603_1608Metric","","C137732"
"RC0603FR-0790K9L","R5","R_0603_1608Metric","","C185305"
"CL0603FN3K48P","R7","R_0603_1608Metric","","C52209912"
"ERJ-U03F1783V","R10","R_0603_1608Metric","","C1859202"
"0603WAF1004T5E","R11, R9","R_0603_1608Metric","","C22935"
"0603WAF1003T5E","R12, R13, R8","R_0603_1608Metric","","C25803"
"0603WAF1002T5E","R14, R6","R_0603_1608Metric","","C25804"
"0603WAF1001T5E","R15, R16","R_0603_1608Metric","","C21190"
"0603WAF3300T5E","R17","R_0603_1608Metric","","C23138"
"MK-12C02-G015","S1","SW-SMD_G-SWITCH_MK-12C02-G015","","C2911519"
"K2-1114SA-A4SW-06","SW2, SW3","KEY-SMD_4P-L4.8-W4.6-P1.70-LS6.2","","C136662"
"TS-1187A-B-A-B","SW4","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","","C318884"
"BQ24074RGTR","U1","","",""
"TPS63020DSJR","U2","","C15483",""
"ESP32-S3-WROOM-1-N16R8","U3","WIRELM-SMD_ESP32-S3-WROOM-1","","C2913202"
"Ra-01H","U4","WIRELM-SMD_RA-01H","","C503593"
