Designator,Layer,Rotation,Mid X,Mid Y
C1,Bottom,0,28mm,-4.5mm
C2,Bottom,0,28mm,-7.5mm
C3,Bottom,0,36mm,-6mm
C4,Bottom,0,-4mm,4.7mm
C5,Bottom,0,-4mm,-4.7mm
C6,Bottom,0,3.8mm,4.7mm
C7,Bottom,0,3.8mm,-4.7mm
C8,Bottom,0,0.8mm,-4.7mm
C9,Bottom,0,-18.5mm,12mm
C10,Bottom,0,-4.8mm,3.3mm
C11,Bottom,0,34mm,-1mm
C12,Bottom,0,-0.8mm,4.7mm
C13,Bottom,0,-30.1mm,10.4mm
C14,Bottom,0,-35.3mm,10.4mm
C15,Bottom,0,-32.6mm,10.4mm
C16,Bottom,0,-30.5mm,-26.2mm
C17,Bottom,0,-30.5mm,-29.8mm
C18,Bottom,90,30.5mm,29.8mm
C19,Bottom,0,30.5mm,26.2mm
C20,Bottom,90,-30.5mm,30mm
C21,Bottom,0,-25.5mm,30mm
C22,Bottom,90,25.5mm,-24.59mm
C23,Bottom,90,30.5mm,-24.59mm
C24,Top,0,-13mm,-27mm
C25,Top,0,-20mm,0mm
C26,Top,0,9mm,22.5mm
D1,Bottom,0,1mm,-28mm
D2,Top,0,-22mm,18mm
D3,Top,0,-31mm,-6mm
FB1,Bottom,0,-14mm,12mm
J1,Bottom,0,0mm,-36.9mm
J2,Bottom,270,37.44mm,-25mm
L1,Bottom,0,3.8mm,0mm
LED1,Top,0,0mm,24mm
M1,Bottom,0,-28.327mm,-28mm
M2,Bottom,0,27.673mm,28mm
M3,Bottom,0,-28.327mm,28mm
M4,Bottom,0,27.673mm,-28mm
Q1,Top,0,-10mm,18mm
Q2,Top,0,-31mm,-12mm
R1,Bottom,0,-7mm,-32mm
R2,Bottom,0,-7mm,-35mm
R3,Bottom,0,26mm,-10mm
R4,Bottom,0,29mm,-10mm
R5,Bottom,0,32mm,-10mm
R6,Bottom,0,35mm,-10mm
R7,Bottom,0,26mm,-13mm
R8,Bottom,0,29mm,-13mm
R9,Bottom,0,0mm,-3.4mm
R10,Bottom,0,4.8mm,3mm
R11,Bottom,0,9mm,-8mm
R12,Bottom,0,37mm,-1mm
R13,Bottom,0,34mm,-3.5mm
R14,Bottom,0,-32.5mm,11.6mm
R15,Top,0,-14mm,15mm
R16,Top,0,-27mm,-12mm
R17,Top,0,29mm,8mm
S1,Top,180,22.0254mm,40.0435mm
SW2,Top,0,-11mm,37mm
SW3,Top,0,-20mm,37mm
SW4,Top,0,0mm,-26mm
U1,Bottom,0,32mm,-6mm
U2,Bottom,0,-2mm,0mm
U3,Bottom,270,-32.87mm,0mm
U4,Top,180,30.5mm,-8mm
